,Sno,Address,City,State code,Country,Rentel_price,Deposit
0,0,"Austin, TX", TX,, USA,$ 29340,
1,1,801 West 5th Street,,, USA,$ 2620,
2,2,"Austin, Indian Oaks, TX, US", Indian Oaks, TX, US,$ 1460,
3,3,5505 Avenue H,,, USA,$ 3350,1600
4,4,"Seaholm Residences, 222 West Avenue, Austin, TX 78701, USA", Austin, TX 78701, USA,$ 7000,
5,5,"7716 Earp Way, Williamson County, TX 78729, USA", Williamson County, TX 78729, USA,$ 2400,
6,6,"8032 Izetta Lane, Travis County, TX 78744, USA", Travis County, TX 78744, USA,$ 2495,
7,7,"Austin, TX, US", TX, US, USA,$ 868,
8,8,"Austin, TX", TX,, USA,$ 10200,
9,9,"Austin, TX", TX,, USA,$ 4740,
10,10,"1601 Faro Drive, Austin, TX 78741, USA", Austin, TX 78741, USA,$ 1600,
11,11,"7002 Colony Loop Drive, Austin, TX 78724, USA", Austin, TX 78724, USA,$ 1950,
12,12,"4517 Avenue F, Austin, TX 78751, USA", Austin, TX 78751, USA,$ 6600,
13,13,"2802 Warren Street, Austin, TX 78703, USA", Austin, TX 78703, USA,$ 5150,
14,14,"6004 Woodview Avenue, Austin, TX 78756, USA", Austin, TX 78756, USA,$ 4000,
15,15,"Austin, TX", TX,, USA,$ 4710,
16,16,"2100 San Gabriel Street, Austin, TX 78705, USA", Austin, TX 78705, USA,$ 1750,
17,17,"499 Paul Thomas Drive, Williamson County, TX 78717, USA", Williamson County, TX 78717, USA,$ 2650,
18,18,"814 North Bluff Drive, Austin, TX 78745, USA", Austin, TX 78745, USA,$ 2750,
19,19,"808 West 32nd Street, Austin, TX 78705, USA", Austin, TX 78705, USA,$ 4100,
20,20,"Austin, TX", TX,, USA,$ 6600,
21,21,"Denali Parkway, Austin, TX 78726, USA", Austin, TX 78726, USA,$ 2750,
22,22,11618 Sherwood Forest,,, USA,$ 3200,2000
23,23,"Austin, TX", TX,, USA,$ 3720,
24,24,"Austin, TX", TX,, USA,$ 13650,
25,25,"Austin, TX", TX,, USA,$ 4980,
26,26,"Pflugerville, TX", TX,, USA,$ 5910,
27,27,"Winnsboro Loop, Round Rock, TX 78664, USA", Round Rock, TX 78664, USA,$ 2195,
28,28,"1910 Woodland Avenue, Unit B", Unit B,, USA,$ 2300,2300
29,29,"5913 Sunshine Drive, Austin, TX 78751, USA", Austin, TX 78751, USA,$ 3000,
30,30,"10703 Morado Circle, Austin, TX 78759, USA", Austin, TX 78759, USA,$ 3800,
31,31,"1173 Webberville Road, Austin, TX 78721, USA", Austin, TX 78721, USA,$ 2595,
32,32,"Round Rock, East McNeil Road, Round Rock, TX 78680, USA", Round Rock, TX 78680, USA,$ 2790,
33,33,"Austin, TX", TX,, USA,$ 24870,
34,34,"2305 Barton Village Circle, Austin, TX 78704, USA", Austin, TX 78704, USA,$ 1695,
35,35,"11509 Swearingen Drive, Austin, TX 78758, USA", Austin, TX 78758, USA,$ 2295,
36,36,"10300 Morado Cove, Austin, TX 78759, USA", Austin, TX 78759, USA,$ 3500,
37,37,"507 Sabine Street, Austin, TX 78701, USA", Austin, TX 78701, USA,$ 2000,
38,38,"Austin, TX", TX,, USA,$ 41190,
39,39,"9517 Eagle Knoll Drive, Austin, TX 78717, USA", Austin, TX 78717, USA,$ 2550,
40,40,"Ed Bluestein Blvd, Unit 2210", Unit 2210,, USA,$ 1533,
41,41,"3213 Hampton Road, Austin, TX 78705, USA", Austin, TX 78705, USA,$ 4250,
42,42,"12323 Patron Drive, Austin, TX 78758, USA", Austin, TX 78758, USA,$ 1595,
43,43,"508 Meadowcreek Circle, Round Rock, TX 78664, USA", Round Rock, TX 78664, USA,$ 2100,
44,44,"Austin, TX", TX,, USA,$ 3930,
45,45,"3402 Clawson Road, Austin, TX 78704, USA", Austin, TX 78704, USA,$ 5500,
46,46,"1064 Greenbriar Loop, Round Rock, TX 78664, USA", Round Rock, TX 78664, USA,$ 1780,
47,47,"2931 East 12th Street, Austin, TX 78702, USA", Austin, TX 78702, USA,$ 1450,
48,48,"11740 Malamute Road, Manchaca, Travis County, TX 78748, USA", Travis County, TX 78748, USA,$ 2100,
49,49,"2507 Rogge Lane, Austin, TX 78723, USA", Austin, TX 78723, USA,$ 3400,
50,50,"9700 Carson Creek Boulevard, Austin, TX 78617, USA", Austin, TX 78617, USA,$ 1575,
51,51,"Austin, TX", TX,, USA,$ 1020,
52,52,"Fifth & West Residence, 501 West 5th Street, Austin, TX 78701, USA", Austin, TX 78701, USA,$ 3100,
53,53,"10410 Broken Shoe Trail, Austin, TX 78750, USA", Austin, TX 78750, USA,$ 2295,
54,54,"Austin, TX", TX,, USA,$ 3480,
55,55,"1706 Alison Ann Court, Pflugerville, TX 78660, USA", Pflugerville, TX 78660, USA,$ 2750,
56,56,"Austin, TX", TX,, USA,$ 4770,
57,57,"Austin, TX", TX,, USA,$ 2400,
58,58,13104 Bennington Lane,,, USA,$ 3000,1000
59,59,"9004 Sanger Drive, Austin, TX 78748, USA", Austin, TX 78748, USA,$ 1875,
60,60,"Austin, TX", TX,, USA,$ 10590,
61,61,"12315 Maypole Bend, Austin, TX 78717, USA", Austin, TX 78717, USA,$ 2500,
62,62,"1100 Brass Street, Austin, TX 78702, USA", Austin, TX 78702, USA,$ 4000,
63,63,"11213 Ranch Road 2222, Austin, TX 78730, USA", Austin, TX 78730, USA,$ 1850,
64,64,"673 Noatak Trail, Pflugerville, TX 78660, USA", Pflugerville, TX 78660, USA,$ 2950,
65,65,"912 South 5th Street, Austin, TX 78704, USA", Austin, TX 78704, USA,$ 13000,
66,66,"Round Rock, TX", TX,, USA,$ 22050,
67,67,"Austin, TX", TX,, USA,$ 30000,
68,68,"Austin, TX", TX,, USA,$ 22290,
69,69,"5328 Balcones Drive, Austin, TX 78731, USA", Austin, TX 78731, USA,$ 1775,
70,70,"5700 Avenue D, Austin, TX 78752, USA", Austin, TX 78752, USA,$ 3950,
71,71,"10004 Parkfield Drive, Austin, TX 78758, USA", Austin, TX 78758, USA,$ 2495,
72,72,"720 Harris Avenue, Austin, TX 78705, USA", Austin, TX 78705, USA,$ 4500,
73,73,"6903 Skynook Drive, Austin, TX 78745, USA", Austin, TX 78745, USA,$ 2250,
74,74,"2210 Onion Creek Parkway, Austin, TX 78747, USA", Austin, TX 78747, USA,$ 975,
75,75,"360 Condominiums, 360 Nueces Street, Austin, TX 78701, USA", Austin, TX 78701, USA,$ 3200,
76,76,"West Highland Mall Boulevard, Austin, TX 78752, USA", Austin, TX 78752, USA,$ 4105,
77,77,"Wells Branch, TX, US", TX, US, USA,$ 1069,
78,78,"1203 West 49th Street, Austin, TX 78756, USA", Austin, TX 78756, USA,$ 1305,
79,79,"Austin, TX", TX,, USA,$ 18510,
80,80,"10610 Berthound Drive, Austin, TX 78758, USA", Austin, TX 78758, USA,$ 2300,
81,81,"8410 Lyndon Lane, Austin, TX 78729, USA", Austin, TX 78729, USA,$ 1450,
82,82,"6920 Bryn Mawr Drive, Austin, TX 78723, USA", Austin, TX 78723, USA,$ 3990,
83,83,"9207 Shady Oaks Drive, Austin, TX 78729, USA", Austin, TX 78729, USA,$ 2150,
84,84,"Austin, TX", TX,, USA,$ 5250,
85,85,"4423 Diane Drive, Austin, TX 78745, USA", Austin, TX 78745, USA,$ 3800,
86,86,"Austin, TX", TX,, USA,$ 3300,
87,87,"Austin, TX", TX,, USA,$ 3030,
88,88,"6036 Mesa Verde Circle, Austin, TX 78749, USA", Austin, TX 78749, USA,$ 2595,
89,89,"Austin, TX", TX,, USA,$ 27780,
