,Sno,No_of_bed,No_of_bathroom,Area,Pets
0,0,       7        Bed     ,       7        Bath     ,"       3,550        Sq Ft     ",No
1,1,       1        Bed     ,       1        Bath     ,,Yes
2,2,       3        Bed     ,       2        Bath     ,"       1,352        Sq Ft     ",Yes
3,3,       3        Bed     ,       1        Bath     ,"       1,300        Sq Ft     ",Yes
4,4,       2        Bed     ,       2        Bath     ,"       1,360        Sq Ft     ",
5,5,       3        Bed     ,       2.5        Bath     ,"       1,867        Sq Ft     ",
6,6,       3        Bed     ,       2.5        Bath     ,"       1,907        Sq Ft     ",
7,7,       1        Bed     ,       1        Bath     ,       675        Sq Ft     ,Yes
8,8,       2        Bed     ,       2        Bath     ,       850        Sq Ft     ,No
9,9,       1        Bed     ,       1        Bath     ,       825        Sq Ft     ,Yes
10,10,       1        Bed     ,       1.5        Bath     ,       954        Sq Ft     ,
11,11,       3        Bed     ,       2        Bath     ,"       1,080        Sq Ft     ",
12,12,       5        Bed     ,       3        Bath     ,"       2,216        Sq Ft     ",
13,13,       3        Bed     ,       3        Bath     ,"       2,000        Sq Ft     ",
14,14,       2        Bed     ,       1        Bath     ,"       1,013        Sq Ft     ",
15,15,       3        Bed     ,       2        Bath     ,"       1,260        Sq Ft     ",No
16,16,       2        Bed     ,       1.5        Bath     ,"       1,089        Sq Ft     ",
17,17,       3        Bed     ,       2.5        Bath     ,"       2,262        Sq Ft     ",
18,18,       2        Bed     ,       2.5        Bath     ,"       1,570        Sq Ft     ",
19,19,              Studio     ,,,
20,20,       4        Bed     ,       2        Bath     ,,Yes
21,21,       3        Bed     ,       2.5        Bath     ,"       2,065        Sq Ft     ",
22,22,       3        Bed     ,       2        Bath     ,"       2,147        Sq Ft     ",Yes
23,23,       2        Bed     ,       1        Bath     ,,Yes
24,24,       4        Bed     ,       4        Bath     ,"       3,100        Sq Ft     ",No
25,25,       1        Bed     ,       1        Bath     ,,
26,26,       2        Bed     ,       2        Bath     ,,Yes
27,27,       3        Bed     ,       2.5        Bath     ,"       1,762        Sq Ft     ",
28,28,       2        Bed     ,       2        Bath     ,"       1,286        Sq Ft     ",Yes
29,29,       3        Bed     ,       1        Bath     ,"       1,154        Sq Ft     ",
30,30,       3        Bed     ,       3.5        Bath     ,"       2,042        Sq Ft     ",
31,31,              Studio     ,,,
32,32,       1        Bed     ,       1        Bath     ,       645        Sq Ft     ,No
33,33,              Studio     ,,,
34,34,              Studio     ,,,
35,35,       3        Bed     ,       2        Bath     ,"       1,633        Sq Ft     ",
36,36,       3        Bed     ,       2.5        Bath     ,"       2,325        Sq Ft     ",
37,37,       1        Bed     ,       1        Bath     ,       753        Sq Ft     ,
38,38,       4        Bed     ,       4        Bath     ,"       1,608        Sq Ft     ",Yes
