,Sno,Washer/Dryer,Air_Conditioning,Parking,Fireplace,Dishwasher,Hardwood_floor,Roofdeck,Storage
0,0,No,Yes,Yes,No,Yes,No,No,No
1,1,No,No,No,No,No,No,No,No
2,2,No,No,No,No,No,No,No,No
3,3,No,Yes,No,No,Yes,Yes,No,Yes
4,4,No,No,No,No,No,No,No,No
5,5,No,No,No,No,No,No,No,No
6,6,No,No,No,No,No,No,No,No
7,7,No,No,No,No,No,No,No,No
8,8,No,Yes,Yes,No,Yes,No,No,No
9,9,No,Yes,Yes,No,Yes,No,No,No
10,10,No,No,No,No,No,No,No,No
11,11,No,No,No,No,No,No,No,No
12,12,No,No,No,No,No,No,No,No
13,13,No,No,No,No,No,No,No,No
14,14,No,No,No,No,No,No,No,No
15,15,No,Yes,Yes,Yes,Yes,No,No,No
16,16,No,No,No,No,No,No,No,No
17,17,No,No,No,No,No,No,No,No
18,18,No,No,No,No,No,No,No,No
19,19,No,No,No,No,No,No,No,No
20,20,No,Yes,Yes,No,Yes,No,No,No
21,21,No,No,No,No,No,No,No,No
22,22,No,Yes,No,No,Yes,Yes,No,Yes
23,23,No,Yes,Yes,Yes,Yes,No,No,No
24,24,No,Yes,No,No,Yes,No,No,No
25,25,No,Yes,Yes,No,No,No,No,No
26,26,No,Yes,Yes,No,Yes,No,No,No
27,27,No,No,No,No,No,No,No,No
28,28,No,No,No,No,Yes,Yes,No,Yes
29,29,No,No,No,No,No,No,No,No
30,30,No,No,No,No,No,No,No,No
31,31,No,No,No,No,No,No,No,No
32,32,No,Yes,No,No,No,No,No,No
33,33,No,Yes,Yes,No,No,No,No,No
34,34,No,No,No,No,No,No,No,No
35,35,No,No,No,No,No,No,No,No
36,36,No,No,No,No,No,No,No,No
37,37,No,No,No,No,No,No,No,No
38,38,No,Yes,Yes,No,No,No,No,No
39,39,No,No,No,No,No,No,No,No
40,40,No,No,No,No,Yes,Yes,No,Yes
41,41,No,No,No,No,No,No,No,No
42,42,No,No,No,No,No,No,No,No
43,43,No,No,No,No,No,No,No,No
44,44,No,Yes,Yes,No,Yes,No,No,No
45,45,No,No,No,No,No,No,No,No
46,46,No,No,No,No,No,No,No,No
47,47,No,No,No,No,No,No,No,No
48,48,No,No,No,No,No,No,No,No
49,49,No,No,No,No,No,No,No,No
50,50,No,No,No,No,No,No,No,No
51,51,No,Yes,No,No,Yes,No,No,No
52,52,No,No,No,No,No,No,No,No
53,53,No,No,No,No,No,No,No,No
54,54,No,Yes,Yes,Yes,Yes,No,No,No
55,55,No,No,No,No,No,No,No,No
56,56,No,Yes,Yes,No,Yes,No,No,No
57,57,No,Yes,Yes,No,Yes,No,No,No
58,58,No,Yes,No,No,Yes,Yes,No,No
59,59,No,No,No,No,No,No,No,No
60,60,No,Yes,Yes,No,Yes,No,No,No
61,61,No,No,No,No,No,No,No,No
62,62,No,No,No,No,No,No,No,No
63,63,No,No,No,No,No,No,No,No
64,64,No,No,No,No,No,No,No,No
65,65,No,No,No,No,No,No,No,No
66,66,No,Yes,Yes,Yes,Yes,No,No,No
67,67,No,Yes,Yes,Yes,Yes,No,No,No
68,68,No,Yes,No,No,No,No,No,No
69,69,No,No,No,No,No,No,No,No
70,70,No,No,No,No,No,No,No,No
71,71,No,No,No,No,No,No,No,No
72,72,No,No,No,No,No,No,No,No
73,73,No,No,No,No,No,No,No,No
74,74,No,No,No,No,No,No,No,No
75,75,No,No,No,No,No,No,No,No
76,76,Yes,Yes,Yes,No,Yes,No,No,No
77,77,No,No,No,No,No,No,No,No
78,78,No,No,No,No,No,No,No,No
79,79,No,Yes,Yes,No,Yes,No,No,No
80,80,No,No,No,No,No,No,No,No
81,81,No,No,No,No,No,No,No,No
82,82,No,No,No,No,No,No,No,No
83,83,No,No,No,No,No,No,No,No
84,84,No,Yes,Yes,No,No,No,No,No
85,85,No,No,No,No,No,No,No,No
86,86,No,Yes,Yes,No,Yes,No,No,No
87,87,No,Yes,No,No,Yes,No,No,No
88,88,No,No,No,No,No,No,No,No
89,89,No,Yes,Yes,No,Yes,No,No,No
90,90,No,No,No,No,No,No,No,No
91,91,No,No,No,No,No,No,No,No
92,92,No,Yes,Yes,No,Yes,No,No,No
93,93,No,No,No,No,No,No,No,No
94,94,No,No,No,No,No,No,No,No
95,95,No,No,No,No,No,No,No,No
96,96,No,No,No,No,No,No,No,No
97,97,No,No,No,No,No,No,No,No
98,98,No,No,No,No,No,No,No,No
